                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.88772,                0.62388,                 1.2956,                0.96007,                0.93446,                0.98309,                0.80209,                0.73201,                0.52149,                 1.1544,               0.001608,               0.001608,               0.001608
                    102,                0.91164,                0.65414,                 1.2832,                 0.9567,                0.93688,                0.98497,                0.80075,                0.73847,                0.51018,                 1.1539,               0.001604,               0.001604,               0.001604
                    103,                0.91611,                0.64841,                 1.2916,                 0.8723,                0.94136,                0.96822,                0.79083,                0.72604,                 0.5988,                 1.1569,                 0.0016,                 0.0016,                 0.0016
                    104,                0.89769,                 0.6553,                 1.2976,                0.94069,                0.94346,                0.97923,                0.77875,                 0.7768,                0.63227,                 1.1706,              0.0015961,              0.0015961,              0.0015961
                    105,                0.88976,                0.61419,                 1.2834,                0.94994,                0.93993,                0.98333,                0.79532,                0.76349,                0.54245,                  1.177,              0.0015921,              0.0015921,              0.0015921
                    106,                 0.9287,                0.66366,                 1.3353,                0.93082,                0.95089,                0.98459,                0.80165,                0.74328,                0.54502,                 1.1696,              0.0015882,              0.0015882,              0.0015882
                    107,                0.92667,                0.65063,                 1.3172,                 0.9717,                0.90813,                 0.9835,                0.80331,                0.73838,                0.53265,                 1.1471,              0.0015842,              0.0015842,              0.0015842
                    108,                0.91461,                0.64311,                 1.2934,                0.95735,                0.95173,                0.98739,                0.79506,                0.75935,                0.55909,                 1.1778,              0.0015802,              0.0015802,              0.0015802
                    109,                0.88877,                0.64028,                 1.2752,                0.96436,                0.95608,                0.98477,                0.80849,                0.72835,                0.52529,                 1.1533,              0.0015763,              0.0015763,              0.0015763
                    110,                0.88501,                0.60075,                 1.2886,                0.96664,                0.92155,                0.98488,                0.81729,                0.69173,                0.52774,                 1.1205,              0.0015723,              0.0015723,              0.0015723
                    111,                0.84387,                0.63954,                 1.2457,                 0.9543,                 0.9682,                0.98954,                0.81441,                0.71848,                0.48787,                  1.138,              0.0015684,              0.0015684,              0.0015684
                    112,                0.92573,                0.66047,                 1.3057,                0.96139,                0.96792,                0.98545,                0.80144,                0.75113,                0.50748,                 1.1689,              0.0015644,              0.0015644,              0.0015644
                    113,                0.94414,                0.62011,                 1.3534,                0.97158,                0.96646,                0.99008,                0.81262,                0.70208,                0.53082,                 1.1283,              0.0015604,              0.0015604,              0.0015604
                    114,                0.90198,                0.63921,                  1.288,                  0.968,                0.96196,                0.99011,                0.82341,                0.70866,                0.49246,                 1.1314,              0.0015565,              0.0015565,              0.0015565
                    115,                0.82402,                0.59716,                 1.2388,                0.97329,                 0.9682,                 0.9903,                0.80791,                 0.7315,                0.48405,                 1.1425,              0.0015525,              0.0015525,              0.0015525
                    116,                0.83289,                 0.5988,                 1.2523,                0.94239,                0.91873,                 0.9686,                0.78537,                0.76259,                0.57525,                 1.1608,              0.0015486,              0.0015486,              0.0015486
                    117,                0.89404,                0.64902,                 1.2864,                0.98781,                0.94346,                0.99085,                0.82008,                0.70871,                  0.483,                 1.1462,              0.0015446,              0.0015446,              0.0015446
                    118,                0.89438,                0.61432,                 1.2748,                0.98885,                0.94045,                0.98813,                0.78856,                  0.794,                0.53306,                 1.1863,              0.0015406,              0.0015406,              0.0015406
                    119,                0.87087,                0.58044,                  1.279,                0.97997,                0.95053,                0.99118,                0.82161,                0.69136,                0.48255,                 1.1148,              0.0015367,              0.0015367,              0.0015367
                    120,                0.86082,                0.59097,                 1.2667,                0.97849,                0.96433,                0.99058,                 0.8142,                0.72396,                0.48553,                 1.1384,              0.0015327,              0.0015327,              0.0015327
                    121,                0.82873,                0.56203,                 1.2446,                0.97152,                0.96447,                0.99019,                0.82817,                0.68998,                0.45766,                 1.0987,              0.0015288,              0.0015288,              0.0015288
                    122,                0.83951,                0.61838,                 1.2663,                 0.9808,                0.96113,                0.99146,                0.82411,                0.70583,                 0.4874,                 1.1223,              0.0015248,              0.0015248,              0.0015248
                    123,                0.86787,                0.58795,                 1.2702,                 0.9507,                0.95405,                0.98852,                0.79124,                0.80238,                0.57619,                 1.1888,              0.0015208,              0.0015208,              0.0015208
                    124,                0.83187,                0.56458,                 1.2373,                0.95759,                0.95753,                 0.9884,                0.80851,                0.71979,                0.50062,                 1.1356,              0.0015169,              0.0015169,              0.0015169
                    125,                0.87797,                0.63156,                 1.2714,                0.99264,                0.95363,                0.99212,                 0.7954,                0.77781,                 0.4752,                 1.1627,              0.0015129,              0.0015129,              0.0015129
                    126,                0.85599,                0.60758,                 1.2588,                0.96097,                0.97173,                0.99155,                0.81249,                0.72436,                0.49286,                 1.1302,               0.001509,               0.001509,               0.001509
                    127,                0.84992,                0.57304,                 1.2519,                0.98412,                0.96466,                0.99219,                0.82974,                0.68391,                0.45881,                 1.1083,               0.001505,               0.001505,               0.001505
                    128,                0.85742,                 0.5773,                 1.2682,                0.98727,                0.97527,                0.99275,                0.84031,                0.65192,                0.43834,                 1.0944,               0.001501,               0.001501,               0.001501
                    129,                0.82394,                0.58649,                 1.2412,                0.97177,                0.97325,                 0.9918,                0.82558,                0.66722,                0.49362,                  1.103,              0.0014971,              0.0014971,              0.0014971
                    130,                0.81673,                 0.5827,                 1.2249,                0.97621,                0.95406,                0.98557,                0.82837,                0.67687,                0.47613,                 1.0994,              0.0014931,              0.0014931,              0.0014931
                    131,                0.85384,                0.59163,                 1.2363,                0.97954,                  0.947,                0.98273,                 0.8135,                0.67737,                0.49847,                  1.101,              0.0014892,              0.0014892,              0.0014892
                    132,                 0.8301,                0.56456,                  1.218,                0.97376,                 0.9788,                0.99114,                0.83328,                0.65911,                0.45527,                 1.0913,              0.0014852,              0.0014852,              0.0014852
                    133,                0.89105,                0.60749,                 1.2802,                0.97493,                0.96205,                0.99287,                0.82234,                0.69617,                0.47689,                 1.1239,              0.0014812,              0.0014812,              0.0014812
                    134,                0.84554,                0.56666,                 1.2401,                0.96426,                0.95332,                0.98957,                0.82131,                0.69667,                0.50615,                  1.108,              0.0014773,              0.0014773,              0.0014773
                    135,                0.83896,                0.56316,                 1.2237,                0.94365,                0.94677,                0.98684,                 0.8042,                0.74243,                0.50404,                 1.1607,              0.0014733,              0.0014733,              0.0014733
                    136,                0.85858,                0.59138,                 1.2617,                0.96071,                0.95053,                0.98724,                0.81805,                0.70722,                0.49315,                 1.1232,              0.0014694,              0.0014694,              0.0014694
                    137,                0.79433,                0.55841,                 1.1922,                0.97496,                0.96308,                  0.992,                0.82413,                 0.6844,                0.44054,                 1.1064,              0.0014654,              0.0014654,              0.0014654
                    138,                0.80929,                0.56205,                 1.2131,                0.97152,                0.96426,                0.99132,                0.83408,                0.66986,                0.44831,                  1.099,              0.0014614,              0.0014614,              0.0014614
                    139,                0.77121,                0.53101,                 1.1935,                0.97579,                0.97527,                0.99167,                0.83175,                0.67752,                0.44322,                 1.0963,              0.0014575,              0.0014575,              0.0014575
